Cell type,Gene ID,Gene name,Gene biotype,FC,FDR,,,,,
L4,ENSG00000182601,HS3ST4,protein_coding,1.474270062,1.1248E-158,,,,,
L4,ENSG00000112137,PHACTR1,protein_coding,1.051799733,4.0309E-157,,,,,
L4,ENSG00000184613,NELL2,protein_coding,1.269946592,9.6789E-153,,,,,
L4,ENSG00000149972,CNTN5,protein_coding,1.518003452,8.2677E-149,,,,,
L4,ENSG00000119042,SATB2,protein_coding,1.218968915,7.6624E-147,,,,,
L4,ENSG00000169744,LDB2,protein_coding,1.269117698,5.0619E-146,,,,,
L4,ENSG00000172995,ARPP21,protein_coding,1.312773784,7.3613E-145,,,,,
L4,ENSG00000112232,KHDRBS2,protein_coding,1.147024489,2.9311E-133,,,,,
L4,ENSG00000185518,SV2B,protein_coding,1.163712489,9.6697E-133,,,,,
L4,ENSG00000115252,PDE1A,protein_coding,1.358114781,3.3593E-132,,,,,
L4,ENSG00000118733,OLFM3,protein_coding,1.219077573,3.0534E-129,,,,,
L4,ENSG00000143473,KCNH1,protein_coding,1.273526595,1.3238E-127,,,,,
L4,ENSG00000184349,EFNA5,protein_coding,1.247938363,6.2051E-124,,,,,
L4,ENSG00000134986,NREP,protein_coding,1.25505158,8.44E-124,,,,,
L4,ENSG00000146147,MLIP,protein_coding,1.002527174,6.0136E-120,,,,,
L4,ENSG00000144331,ZNF385B,protein_coding,1.241773087,9.4191E-119,,,,,
L4,ENSG00000114861,FOXP1,protein_coding,1.045532948,6.3036E-118,,,,,
L4,ENSG00000198673,FAM19A2,protein_coding,1.336917899,6.7292E-117,,,,,
L4,ENSG00000187323,DCC,protein_coding,1.545989548,1.5351E-116,,,,,
L4,ENSG00000198846,TOX,protein_coding,1.169812999,3.4461E-116,,,,,
L4,ENSG00000165966,PDZRN4,protein_coding,1.1741514,1.1156E-111,,,,,
L4,ENSG00000165061,ZMAT4,protein_coding,1.131878678,2.5103E-107,,,,,
L4,ENSG00000156687,UNC5D,protein_coding,1.248774795,3.7293E-103,,,,,
L4,ENSG00000196277,GRM7,protein_coding,1.038183085,9.892E-102,,,,,
L4,ENSG00000216863,LY86-AS1,antisense,1.026194618,7.7423E-101,,,,,
L4,ENSG00000175497,DPP10,protein_coding,1.132257317,1.644E-100,,,,,
L4,ENSG00000002746,HECW1,protein_coding,1.041348679,2.5598E-99,,,,,
L4,ENSG00000116106,EPHA4,protein_coding,1.081424055,6.78237E-98,,,,,
L4,ENSG00000072657,TRHDE,protein_coding,1.068224756,2.50258E-92,,,,,
L4,ENSG00000248905,FMN1,protein_coding,1.075562447,6.82635E-90,,,,,
L4,ENSG00000117069,ST6GALNAC5,protein_coding,1.095843576,2.83442E-87,,,,,
L4,ENSG00000108018,SORCS1,protein_coding,1.115762638,1.33695E-85,,,,,
L4,ENSG00000182674,KCNB2,protein_coding,1.028207681,2.30223E-83,,,,,
L4,ENSG00000182256,GABRG3,protein_coding,1.003770608,7.53332E-81,,,,,
L4,ENSG00000117114,ADGRL2,protein_coding,1.064893038,2.36519E-80,,,,,
L4,ENSG00000196090,PTPRT,protein_coding,1.038779905,1.34757E-75,,,,,
L4,ENSG00000253553,RP11-586K2.1,antisense,1.051170219,5.20605E-75,,,,,
L4,ENSG00000174482,LINGO2,protein_coding,1.072675725,2.20073E-68,,,,,
L4,ENSG00000158258,CLSTN2,protein_coding,1.021692331,6.73395E-65,,,,,
L4,ENSG00000184611,KCNH7,protein_coding,1.070520482,1.14266E-61,,,,,
L5/6,ENSG00000106829,TLE4,protein_coding,2.393347999,0,,,,,
L5/6,ENSG00000108684,ASIC2,protein_coding,2.099671499,0,,,,,
L5/6,ENSG00000120549,KIAA1217,protein_coding,2.665491245,0,,,,,
L5/6,ENSG00000139915,MDGA2,protein_coding,1.345521449,0,,,,,
L5/6,ENSG00000168702,LRP1B,protein_coding,1.584458008,0,,,,,
L5/6,ENSG00000170381,SEMA3E,protein_coding,1.973472437,0,,,,,
L5/6,ENSG00000182601,HS3ST4,protein_coding,3.614649031,0,,,,,
L5/6,ENSG00000206120,EGFEM1P,unitary_pseudogene,2.450563966,0,,,,,
L5/6,ENSG00000164741,DLC1,protein_coding,2.134115768,0,,,,,
L5/6,ENSG00000175497,DPP10,protein_coding,1.783452663,8.0824E-298,,,,,
L5/6,ENSG00000128573,FOXP2,protein_coding,1.877414209,6.2467E-260,,,,,
L5/6,ENSG00000165966,PDZRN4,protein_coding,1.983228646,5.5775E-246,,,,,
L5/6,ENSG00000183023,SLC8A1,protein_coding,1.35817489,5.1501E-236,,,,,
L5/6,ENSG00000118733,OLFM3,protein_coding,1.750323819,1.6199E-224,,,,,
L5/6,ENSG00000153707,PTPRD,protein_coding,1.292804121,9.0152E-214,,,,,
L5/6,ENSG00000198626,RYR2,protein_coding,1.236962586,3.8041E-211,,,,,
L5/6,ENSG00000158258,CLSTN2,protein_coding,1.60792709,2.2966E-196,,,,,
L5/6,ENSG00000250305,KIAA1456,protein_coding,1.381577374,3.4032E-194,,,,,
L5/6,ENSG00000172995,ARPP21,protein_coding,1.313857235,5.372E-186,,,,,
L5/6,ENSG00000083067,TRPM3,protein_coding,1.750278371,1.3298E-178,,,,,
L5/6,ENSG00000188580,NKAIN2,protein_coding,1.162610186,1.6274E-158,,,,,
L5/6,ENSG00000253553,RP11-586K2.1,antisense,1.652729791,3.9229E-152,,,,,
L5/6,ENSG00000163873,GRIK3,protein_coding,1.011179981,1.0495E-151,,,,,
L5/6,ENSG00000099715,PCDH11Y,protein_coding,1.461821465,6.3767E-151,,,,,
L5/6,ENSG00000184672,RALYL,protein_coding,1.369220767,7.1686E-151,,,,,
L5/6,ENSG00000165023,DIRAS2,protein_coding,1.293787552,1.6989E-150,,,,,
L5/6,ENSG00000187398,LUZP2,protein_coding,1.478078251,1.0984E-141,,,,,
L5/6,ENSG00000140937,CDH11,protein_coding,1.183319371,6.4755E-139,,,,,
L5/6,ENSG00000169946,ZFPM2,protein_coding,1.265730576,3.5806E-126,,,,,
L5/6,ENSG00000196376,SLC35F1,protein_coding,1.101779711,4.4707E-125,,,,,
L5/6,ENSG00000102290,PCDH11X,protein_coding,1.359240479,2.4138E-123,,,,,
L5/6,ENSG00000185008,ROBO2,protein_coding,1.490755029,9.5734E-122,,,,,
L5/6,ENSG00000130396,MLLT4,protein_coding,1.056657551,3.1014E-120,,,,,
L5/6,ENSG00000182256,GABRG3,protein_coding,1.044419333,3.4095E-120,,,,,
L5/6,ENSG00000185518,SV2B,protein_coding,1.073338107,1.025E-116,,,,,
L5/6,ENSG00000145242,EPHA5,protein_coding,1.153565496,3.8414E-113,,,,,
L5/6,ENSG00000171509,RXFP1,protein_coding,1.042109127,7.4957E-113,,,,,
L5/6,ENSG00000138759,FRAS1,protein_coding,1.112053197,7.8871E-111,,,,,
L5/6,ENSG00000233723,LINC01122,lincRNA,1.131704455,7.1353E-105,,,,,
L5/6,ENSG00000144331,ZNF385B,protein_coding,1.267895266,1.7619E-101,,,,,
L5/6,ENSG00000115252,PDE1A,protein_coding,1.315609586,1.11871E-97,,,,,
L5/6,ENSG00000225206,MIR137HG,lincRNA,1.084082101,1.32999E-93,,,,,
L5/6,ENSG00000175471,MCTP1,protein_coding,1.1618509,2.25827E-93,,,,,
L5/6,ENSG00000165084,C8orf34,protein_coding,1.005040844,8.76149E-86,,,,,
L5/6,ENSG00000198838,RYR3,protein_coding,1.052425449,2.61185E-76,,,,,
L5/6,ENSG00000151789,ZNF385D,protein_coding,1.08649798,1.02276E-75,,,,,
L5/6,ENSG00000157168,NRG1,protein_coding,1.051859427,4.40553E-60,,,,,
L5/6-CC,ENSG00000157168,NRG1,protein_coding,1.69429044,5.0605E-182,,,,,
L5/6-CC,ENSG00000165966,PDZRN4,protein_coding,1.829719192,7.7482E-162,,,,,
L5/6-CC,ENSG00000184672,RALYL,protein_coding,1.292210632,7.9945E-154,,,,,
L5/6-CC,ENSG00000168702,LRP1B,protein_coding,1.322649402,7.4511E-153,,,,,
L5/6-CC,ENSG00000067715,SYT1,protein_coding,1.062024267,1.8136E-128,,,,,
L5/6-CC,ENSG00000171509,RXFP1,protein_coding,1.220483768,3.8176E-125,,,,,
L5/6-CC,ENSG00000158258,CLSTN2,protein_coding,1.368888532,5.415E-118,,,,,
L5/6-CC,ENSG00000185774,KCNIP4,protein_coding,1.31489958,8.8659E-116,,,,,
L5/6-CC,ENSG00000182348,ZNF804B,protein_coding,1.628413249,2.8236E-99,,,,,
L5/6-CC,ENSG00000106536,POU6F2,protein_coding,1.348011917,3.1753E-99,,,,,
L5/6-CC,ENSG00000239498,AC114765.1,lincRNA,1.204992726,2.53939E-97,,,,,
L5/6-CC,ENSG00000066032,CTNNA2,protein_coding,1.023616517,5.11423E-97,,,,,
L5/6-CC,ENSG00000165973,NELL1,protein_coding,1.157062955,5.91375E-91,,,,,
L5/6-CC,ENSG00000119042,SATB2,protein_coding,1.001230343,4.09117E-90,,,,,
L5/6-CC,ENSG00000175497,DPP10,protein_coding,1.027696685,4.09117E-90,,,,,
L5/6-CC,ENSG00000134532,SOX5,protein_coding,1.128286018,3.51094E-85,,,,,
L5/6-CC,ENSG00000253553,RP11-586K2.1,antisense,1.184382934,8.03464E-82,,,,,
L5/6-CC,ENSG00000152214,RIT2,protein_coding,1.09766031,3.54828E-79,,,,,
L5/6-CC,ENSG00000141668,CBLN2,protein_coding,1.018677289,1.71374E-75,,,,,
L5/6-CC,ENSG00000152894,PTPRK,protein_coding,1.13577901,4.94992E-73,,,,,
L5/6-CC,ENSG00000154162,CDH12,protein_coding,1.352194282,3.74288E-72,,,,,
L5/6-CC,ENSG00000183780,SLC35F3,protein_coding,1.006292244,2.74915E-68,,,,,
L5/6-CC,ENSG00000081803,CADPS2,protein_coding,1.078608375,1.29125E-60,,,,,
L5/6-CC,ENSG00000184347,SLIT3,protein_coding,1.001259933,5.51499E-60,,,,,
L5/6-CC,ENSG00000189108,IL1RAPL2,protein_coding,1.131395618,8.68136E-58,,,,,
Neu-NRGN-I,ENSG00000034510,TMSB10,protein_coding,2.391693514,0,,,,,
Neu-NRGN-I,ENSG00000067225,PKM,protein_coding,2.158842062,0,,,,,
Neu-NRGN-I,ENSG00000067715,SYT1,protein_coding,2.354153643,0,,,,,
Neu-NRGN-I,ENSG00000080824,HSP90AA1,protein_coding,2.370182084,0,,,,,
Neu-NRGN-I,ENSG00000096384,HSP90AB1,protein_coding,2.282188037,0,,,,,
Neu-NRGN-I,ENSG00000102003,SYP,protein_coding,2.244882323,0,,,,,
Neu-NRGN-I,ENSG00000104435,STMN2,protein_coding,2.471616766,0,,,,,
Neu-NRGN-I,ENSG00000105649,RAB3A,protein_coding,2.329901561,0,,,,,
Neu-NRGN-I,ENSG00000105696,TMEM59L,protein_coding,2.327512935,0,,,,,
Neu-NRGN-I,ENSG00000111640,GAPDH,protein_coding,2.271914609,0,,,,,
Neu-NRGN-I,ENSG00000115310,RTN4,protein_coding,1.923072866,0,,,,,
Neu-NRGN-I,ENSG00000117632,STMN1,protein_coding,2.37992718,0,,,,,
Neu-NRGN-I,ENSG00000123416,TUBA1B,protein_coding,2.600510623,0,,,,,
Neu-NRGN-I,ENSG00000128245,YWHAH,protein_coding,2.624121107,0,,,,,
Neu-NRGN-I,ENSG00000128656,CHN1,protein_coding,3.006301575,0,,,,,
Neu-NRGN-I,ENSG00000128989,ARPP19,protein_coding,2.610334204,0,,,,,
Neu-NRGN-I,ENSG00000130558,OLFM1,protein_coding,2.359868889,0,,,,,
Neu-NRGN-I,ENSG00000131711,MAP1B,protein_coding,2.543907734,0,,,,,
Neu-NRGN-I,ENSG00000132639,SNAP25,protein_coding,2.11233436,0,,,,,
Neu-NRGN-I,ENSG00000133169,BEX1,protein_coding,2.581914888,0,,,,,
Neu-NRGN-I,ENSG00000133318,RTN3,protein_coding,2.170187738,0,,,,,
Neu-NRGN-I,ENSG00000133872,SARAF,protein_coding,2.212650717,0,,,,,
Neu-NRGN-I,ENSG00000137267,TUBB2A,protein_coding,2.624547987,0,,,,,
Neu-NRGN-I,ENSG00000139970,RTN1,protein_coding,2.408318974,0,,,,,
Neu-NRGN-I,ENSG00000143153,ATP1B1,protein_coding,2.268728724,0,,,,,
Neu-NRGN-I,ENSG00000149925,ALDOA,protein_coding,2.52652596,0,,,,,
Neu-NRGN-I,ENSG00000154096,THY1,protein_coding,2.740664956,0,,,,,
Neu-NRGN-I,ENSG00000154146,NRGN,protein_coding,2.57478897,0,,,,,
Neu-NRGN-I,ENSG00000154277,UCHL1,protein_coding,2.415720195,0,,,,,
Neu-NRGN-I,ENSG00000160014,CALM3,protein_coding,2.523195607,0,,,,,
Neu-NRGN-I,ENSG00000163032,VSNL1,protein_coding,2.177029738,0,,,,,
Neu-NRGN-I,ENSG00000166681,NGFRAP1,protein_coding,2.315347969,0,,,,,
Neu-NRGN-I,ENSG00000170027,YWHAG,protein_coding,2.171287201,0,,,,,
Neu-NRGN-I,ENSG00000171603,CLSTN1,protein_coding,2.15954027,0,,,,,
Neu-NRGN-I,ENSG00000171617,ENC1,protein_coding,2.723154295,0,,,,,
Neu-NRGN-I,ENSG00000171867,PRNP,protein_coding,2.119790538,0,,,,,
Neu-NRGN-I,ENSG00000178980,SEPW1,protein_coding,2.340466688,0,,,,,
Neu-NRGN-I,ENSG00000198668,CALM1,protein_coding,2.548615088,0,,,,,
Neu-NRGN-I,ENSG00000277586,NEFL,protein_coding,2.671250814,0,,,,,
Neu-NRGN-I,ENSG00000156298,TSPAN7,protein_coding,2.103830435,0,,,,,
Neu-NRGN-I,ENSG00000166922,SCG5,protein_coding,2.231748753,0,,,,,
Neu-NRGN-I,ENSG00000145335,SNCA,protein_coding,2.138521808,3.2235E-305,,,,,
Neu-NRGN-I,ENSG00000163399,ATP1A1,protein_coding,2.130859177,1.867E-301,,,,,
Neu-NRGN-I,ENSG00000156976,EIF4A2,protein_coding,1.998257318,1.5579E-300,,,,,
Neu-NRGN-I,ENSG00000102109,PCSK1N,protein_coding,2.102231788,8.8781E-291,,,,,
Neu-NRGN-I,ENSG00000111674,ENO2,protein_coding,2.057922954,2.0157E-290,,,,,
Neu-NRGN-I,ENSG00000104888,SLC17A7,protein_coding,2.134056711,8.0545E-290,,,,,
Neu-NRGN-I,ENSG00000166165,CKB,protein_coding,1.92018241,3.9575E-288,,,,,
Neu-NRGN-I,ENSG00000111897,SERINC1,protein_coding,2.027522904,5.7663E-288,,,,,
Neu-NRGN-I,ENSG00000197746,PSAP,protein_coding,1.929705394,2.0588E-287,,,,,
Neu-NRGN-I,ENSG00000175874,CREG2,protein_coding,2.095418835,2.3093E-287,,,,,
Neu-NRGN-I,ENSG00000135472,FAIM2,protein_coding,1.99321408,8.4947E-287,,,,,
Neu-NRGN-I,ENSG00000182220,ATP6AP2,protein_coding,1.995530564,4.2434E-284,,,,,
Neu-NRGN-I,ENSG00000117152,RGS4,protein_coding,2.037319992,1.3731E-282,,,,,
Neu-NRGN-I,ENSG00000260032,LINC00657,lincRNA,1.975020915,5.4597E-278,,,,,
Neu-NRGN-I,ENSG00000104722,NEFM,protein_coding,1.871873488,1.3669E-276,,,,,
Neu-NRGN-I,ENSG00000088986,DYNLL1,protein_coding,1.929358627,2.0515E-275,,,,,
Neu-NRGN-I,ENSG00000136854,STXBP1,protein_coding,1.95327722,1.8243E-274,,,,,
Neu-NRGN-I,ENSG00000163536,SERPINI1,protein_coding,1.979802059,1.1096E-272,,,,,
Neu-NRGN-I,ENSG00000165434,PGM2L1,protein_coding,1.964433379,1.4947E-266,,,,,
Neu-NRGN-I,ENSG00000133134,BEX2,protein_coding,1.954821356,1.8774E-266,,,,,
Neu-NRGN-I,ENSG00000171314,PGAM1,protein_coding,1.910452228,2.7058E-266,,,,,
Neu-NRGN-I,ENSG00000070808,CAMK2A,protein_coding,2.043204664,1.186E-262,,,,,
Neu-NRGN-I,ENSG00000143013,LMO4,protein_coding,1.994866697,2.0231E-262,,,,,
Neu-NRGN-I,ENSG00000205542,TMSB4X,protein_coding,1.795242565,4.9004E-262,,,,,
Neu-NRGN-I,ENSG00000166913,YWHAB,protein_coding,1.916077422,9.6111E-261,,,,,
Neu-NRGN-I,ENSG00000167552,TUBA1A,protein_coding,1.923731003,6.8546E-260,,,,,
Neu-NRGN-I,ENSG00000120885,CLU,protein_coding,2.088819366,1.7636E-258,,,,,
Neu-NRGN-I,ENSG00000105223,PLD3,protein_coding,1.875703682,2.217E-258,,,,,
Neu-NRGN-I,ENSG00000117410,ATP6V0B,protein_coding,1.907049686,5.3267E-258,,,,,
Neu-NRGN-I,ENSG00000089220,PEBP1,protein_coding,1.810212966,1.0991E-253,,,,,
Neu-NRGN-I,ENSG00000187094,CCK,protein_coding,2.442693658,4.8418E-253,,,,,
Neu-NRGN-I,ENSG00000125814,NAPB,protein_coding,1.852551704,1.2773E-252,,,,,
Neu-NRGN-I,ENSG00000103034,NDRG4,protein_coding,1.962403749,4.947E-246,,,,,
Neu-NRGN-I,ENSG00000131507,NDFIP1,protein_coding,1.739835831,1.7185E-245,,,,,
Neu-NRGN-I,ENSG00000147416,ATP6V1B2,protein_coding,1.82580026,2.7553E-245,,,,,
Neu-NRGN-I,ENSG00000172757,CFL1,protein_coding,1.828310062,2.3825E-243,,,,,
Neu-NRGN-I,ENSG00000106976,DNM1,protein_coding,1.802615689,1.7185E-241,,,,,
Neu-NRGN-I,ENSG00000111669,TPI1,protein_coding,1.822444234,2.1724E-238,,,,,
Neu-NRGN-I,ENSG00000132872,SYT4,protein_coding,1.778974964,1.3672E-235,,,,,
Neu-NRGN-I,ENSG00000203879,GDI1,protein_coding,1.790435821,1.5269E-235,,,,,
Neu-NRGN-I,ENSG00000092964,DPYSL2,protein_coding,1.541402317,1.3103E-234,,,,,
Neu-NRGN-I,ENSG00000126214,KLC1,protein_coding,1.798302104,2.5211E-234,,,,,
Neu-NRGN-I,ENSG00000137409,MTCH1,protein_coding,1.747731658,2.5211E-234,,,,,
Neu-NRGN-I,ENSG00000175602,CCDC85B,protein_coding,1.761137864,2.4488E-233,,,,,
Neu-NRGN-I,ENSG00000176956,LY6H,protein_coding,1.805406534,1.3843E-231,,,,,
Neu-NRGN-I,ENSG00000010404,IDS,protein_coding,1.784915848,1.7534E-231,,,,,
Neu-NRGN-I,ENSG00000196230,TUBB,protein_coding,1.731754199,4.1299E-230,,,,,
Neu-NRGN-I,ENSG00000105290,APLP1,protein_coding,1.824042008,3.9038E-228,,,,,
Neu-NRGN-I,ENSG00000172020,GAP43,protein_coding,1.844974317,1.1372E-227,,,,,
Neu-NRGN-I,ENSG00000073969,NSF,protein_coding,1.810091768,5.6294E-227,,,,,
Neu-NRGN-I,ENSG00000105409,ATP1A3,protein_coding,1.852514173,2.487E-226,,,,,
Neu-NRGN-I,ENSG00000196950,SLC39A10,protein_coding,1.819530115,4.4019E-226,,,,,
Neu-NRGN-I,ENSG00000166257,SCN3B,protein_coding,1.828055874,1.0057E-223,,,,,
Neu-NRGN-I,ENSG00000171130,ATP6V0E2,protein_coding,1.673954735,5.0665E-221,,,,,
Neu-NRGN-I,ENSG00000167996,FTH1,protein_coding,1.770953939,1.4546E-219,,,,,
Neu-NRGN-I,ENSG00000134333,LDHA,protein_coding,1.565675822,1.0456E-218,,,,,
Neu-NRGN-I,ENSG00000070961,ATP2B1,protein_coding,1.700353571,5.086E-216,,,,,
Neu-NRGN-I,ENSG00000074317,SNCB,protein_coding,1.742559925,5.991E-216,,,,,
Neu-NRGN-I,ENSG00000075624,ACTB,protein_coding,1.567025446,1.156E-214,,,,,
Neu-NRGN-I,ENSG00000138078,PREPL,protein_coding,1.601804969,4.0838E-214,,,,,
Neu-NRGN-I,ENSG00000162706,CADM3,protein_coding,1.740819364,3.591E-213,,,,,
Neu-NRGN-I,ENSG00000142192,APP,protein_coding,1.45121433,1.14E-212,,,,,
Neu-NRGN-I,ENSG00000109472,CPE,protein_coding,1.700222189,1.8396E-211,,,,,
Neu-NRGN-I,ENSG00000005486,RHBDD2,protein_coding,1.652401426,2.2197E-211,,,,,
Neu-NRGN-I,ENSG00000129625,REEP5,protein_coding,1.645366633,1.3876E-209,,,,,
Neu-NRGN-I,ENSG00000170091,HMP19,protein_coding,1.718202138,1.8166E-207,,,,,
Neu-NRGN-I,ENSG00000120265,PCMT1,protein_coding,1.649553442,5.6754E-206,,,,,
Neu-NRGN-I,ENSG00000136156,ITM2B,protein_coding,1.614038638,1.6341E-205,,,,,
Neu-NRGN-I,ENSG00000166501,PRKCB,protein_coding,1.641503458,2.0215E-205,,,,,
Neu-NRGN-I,ENSG00000196262,PPIA,protein_coding,1.657782529,4.7469E-205,,,,,
Neu-NRGN-I,ENSG00000100604,CHGA,protein_coding,1.522811087,1.6223E-203,,,,,
Neu-NRGN-I,ENSG00000156411,C14orf2,protein_coding,1.646164783,4.8497E-203,,,,,
Neu-NRGN-I,ENSG00000152583,SPARCL1,protein_coding,1.965627867,5.1539E-203,,,,,
Neu-NRGN-I,ENSG00000174938,SEZ6L2,protein_coding,1.707624094,5.9972E-203,,,,,
Neu-NRGN-I,ENSG00000213585,VDAC1,protein_coding,1.560059845,9.3241E-203,,,,,
Neu-NRGN-I,ENSG00000168490,PHYHIP,protein_coding,1.642361198,3.1134E-199,,,,,
Neu-NRGN-I,ENSG00000014641,MDH1,protein_coding,1.640253527,6.5848E-199,,,,,
Neu-NRGN-I,ENSG00000132824,SERINC3,protein_coding,1.623474612,3.944E-198,,,,,
Neu-NRGN-I,ENSG00000165678,GHITM,protein_coding,1.522587664,6.6103E-197,,,,,
